"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"1","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"3","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"4","Not too happy","PRETTY HAPPY","Good","Worse","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"5","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"6","Pretty happy","PRETTY HAPPY","Fair","Better","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"7","Pretty happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"8","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"9","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"10","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"11","Not too happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"12","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"13","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"14","Pretty happy",".i:  Inapplicable","Fair","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"15","Pretty happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"16","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"17","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"18","Not too happy","PRETTY HAPPY","Good","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"19","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"20","Very happy","VERY HAPPY","Excellent","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"21","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"22","Not too happy","VERY HAPPY","Fair","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"23","Pretty happy",".i:  Inapplicable","Fair","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"24","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"25","Pretty happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"26","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"27","Pretty happy",".i:  Inapplicable","Excellent","Worse","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"28","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"29","Pretty happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"30","Pretty happy",".i:  Inapplicable","Fair","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"31","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"32","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"33","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"34","Not too happy","PRETTY HAPPY","Excellent","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"35","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"36","Not too happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"37","Pretty happy","VERY HAPPY","Fair","Better","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"38","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"39","Pretty happy","PRETTY HAPPY","Excellent","Worse","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"40","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"41",".s:  Skipped on Web",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"42","Not too happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"43","Pretty happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"44","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"45","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"46","Not too happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"47","Pretty happy","VERY HAPPY","Good","Better","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"48","Not too happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"49","Not too happy","PRETTY HAPPY","Fair","Worse","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"50","Pretty happy","PRETTY HAPPY","Good","Stayed same","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"51","Not too happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"52","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"53","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"54","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"55","Not too happy","VERY HAPPY","Fair","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"56","Very happy",".i:  Inapplicable","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"57","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"58","Not too happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"59","Very happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"60","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"61","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"62","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"63","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"64","Not too happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"65","Not too happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"66","Not too happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"67","Not too happy",".i:  Inapplicable","Excellent","Stayed same","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"68","Pretty happy","PRETTY HAPPY","Fair","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"69","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"70","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"71","Pretty happy","PRETTY HAPPY","Good","Stayed same","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"72","Very happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"73","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"74","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"75","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"76","Pretty happy","PRETTY HAPPY","Fair","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"77","Not too happy",".s:  Skipped on Web","Excellent","Better","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"78","Pretty happy","PRETTY HAPPY","Fair","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"79","Pretty happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"80","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"81","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"82","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"83","Very happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"84","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"85","Very happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"86","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"87","Pretty happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"88","Very happy","PRETTY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"89","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"90","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"91","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"92","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"93","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"94","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"95","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"96","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"97","Very happy","VERY HAPPY","Good","Worse","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"98","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","UNDER $1 000","0 to 9 999"
"99","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"100","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"101","Very happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"102","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"103","Pretty happy","PRETTY HAPPY","Fair","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"104","Not too happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"105","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"106","Pretty happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"107","Pretty happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"108","Not too happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"109","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"110","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"111","Pretty happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"112","Pretty happy","PRETTY HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"113","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"114","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"115","Pretty happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"116","Pretty happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"117","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"118","Not too happy","PRETTY HAPPY","Poor","Better","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"119","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"120","Pretty happy",".i:  Inapplicable","Fair","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"121","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"122","Not too happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"123","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"124","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"125","Pretty happy","PRETTY HAPPY","Excellent","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"126","Not too happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"127","Not too happy","VERY HAPPY","Good","Worse","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"128","Not too happy",".i:  Inapplicable","Fair","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"129","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"130","Not too happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"131","Pretty happy","PRETTY HAPPY","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"132","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"133","Pretty happy","VERY HAPPY","Poor","Stayed same","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"134","Pretty happy","PRETTY HAPPY","Poor","Better","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"135","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"136","Pretty happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"137","Very happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"138","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"139","Very happy","VERY HAPPY","Fair","Stayed same","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"140","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"141","Pretty happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"142","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"143","Not too happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"144","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"145","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"146","Pretty happy","PRETTY HAPPY","Good","Worse","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"147","Pretty happy","VERY HAPPY","Excellent","Worse","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"148","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"149","Not too happy","NOT TOO HAPPY","Fair","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"150","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"151","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"152","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"153","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"154","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"155","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"156","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"157","Not too happy",".i:  Inapplicable","Fair","Better","Not satisfied at all","UNDER $1 000","0 to 9 999"
"158","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"159","Not too happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$6 000 TO 6 999","0 to 9 999"
"160","Very happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"161","Not too happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"162","Pretty happy","VERY HAPPY","Excellent","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"163","Not too happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"164","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"165",".s:  Skipped on Web","PRETTY HAPPY","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"166","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"167","Very happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"168","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"169","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"170","Not too happy",".i:  Inapplicable","Fair","Better","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"171","Pretty happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"172","Pretty happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"173","Very happy","VERY HAPPY","Fair","Worse","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"174","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"175","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"176","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"177","Very happy",".i:  Inapplicable","Good","Better","Not satisfied at all","$4 000 TO 4 999","0 to 9 999"
"178","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"179","Not too happy",".i:  Inapplicable","Good","Better","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"180","Not too happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"181",".s:  Skipped on Web",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"182","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"183","Very happy","NOT TOO HAPPY","Excellent","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"184","Not too happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"185","Pretty happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"186","Not too happy","PRETTY HAPPY","Fair","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"187","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"188","Not too happy","NOT TOO HAPPY","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
